# Determined from WSA steel production, consumption, imports, and exports data; only includes trade between countries in different GCAM regions
GCAM_region,year,metric,value
Europe_Non_EU,1987,imports_reval,3.0938369246718804
Africa_Northern,1987,imports_reval,4.469142570325943
Africa_Southern,1987,imports_reval,0.1328853033430249
Argentina,1987,imports_reval,0.7633411410080528
Central Asia,1987,imports_reval,2.19110879873123
Australia_NZ,1987,imports_reval,0.909215233399644
EU-15,1987,imports_reval,56.66908748127584
Middle East,1987,imports_reval,4.990692407506837
South Asia,1987,imports_reval,0.2567783681139654
Europe_Eastern,1987,imports_reval,1.6435813834532027
Africa_Western,1987,imports_reval,2.434898377796629
South America_Southern,1987,imports_reval,0.6016546097747287
Brazil,1987,imports_reval,0.5255463876573767
EU-12,1987,imports_reval,7.283713243388357
Canada,1987,imports_reval,2.7796008563931975
China,1987,imports_reval,14.336625696759882
Colombia,1987,imports_reval,0.5205506995617742
Central America and Caribbean,1987,imports_reval,0.8952273067319572
Africa_Eastern,1987,imports_reval,0.23179992763595322
European Free Trade Association,1987,imports_reval,3.260186051190152
India,1987,imports_reval,2.002271788717458
Indonesia,1987,imports_reval,0.3067352490699898
Japan,1987,imports_reval,4.9767044808391505
Southeast Asia,1987,imports_reval,12.700038276640523
Mexico,1987,imports_reval,0.3566921300260142
Pakistan,1987,imports_reval,0.5994825714722928
Russia,1987,imports_reval,5.518237070402455
South Africa,1987,imports_reval,0.11390168857973562
South Korea,1987,imports_reval,3.7577565855121553
Taiwan,1987,imports_reval,3.529953208352684
USA,1987,imports_reval,18.664889862789835
South America_Northern,1987,imports_reval,0.5265455252764971
Europe_Non_EU,1988,imports_reval,2.3685539358295538
Africa_Northern,1988,imports_reval,4.641458524541927
Africa_Southern,1988,imports_reval,0.15284174023879302
Argentina,1988,imports_reval,0.9762149860413231
Central Asia,1988,imports_reval,2.2709324372254214
Australia_NZ,1988,imports_reval,0.8874681691284756
EU-15,1988,imports_reval,63.51313863729457
Middle East,1988,imports_reval,5.074345775927928
South Asia,1988,imports_reval,0.2948366472993491
Europe_Eastern,1988,imports_reval,1.7029528089831971
Africa_Western,1988,imports_reval,0.18341008828655161
South America_Southern,1988,imports_reval,0.512099269373885
Brazil,1988,imports_reval,0.1104404832693214
EU-12,1988,imports_reval,7.96453378005633
Canada,1988,imports_reval,3.974871321952094
China,1988,imports_reval,11.537086198670181
Colombia,1988,imports_reval,0.4851492657902333
Central America and Caribbean,1988,imports_reval,0.9387441077892319
Africa_Eastern,1988,imports_reval,0.18341008828655161
European Free Trade Association,1988,imports_reval,3.2096765450146534
India,1988,imports_reval,1.8725578368610833
Indonesia,1988,imports_reval,0.2958227230428252
Japan,1988,imports_reval,6.8887251439239225
Southeast Asia,1988,imports_reval,13.92240342213883
Mexico,1988,imports_reval,0.5551606435770352
Pakistan,1988,imports_reval,0.5916454460856504
Russia,1988,imports_reval,5.718253236417811
South Africa,1988,imports_reval,0.18834046700393203
South Korea,1988,imports_reval,3.0322312188021856
Taiwan,1988,imports_reval,5.243950803805814
USA,1988,imports_reval,19.0115403342189
South America_Northern,1988,imports_reval,0.3835834642121967
Europe_Non_EU,1989,imports_reval,3.6532803845766777
Africa_Northern,1989,imports_reval,4.1522519670526865
Africa_Southern,1989,imports_reval,0.22240612814315164
Argentina,1989,imports_reval,0.43899144623641334
Central Asia,1989,imports_reval,2.251333707099749
Australia_NZ,1989,imports_reval,1.4602320902068462
EU-15,1989,imports_reval,70.019688587403
Middle East,1989,imports_reval,7.787233572722657
South Asia,1989,imports_reval,0.31801057236758334
Europe_Eastern,1989,imports_reval,1.6888776662888554
Africa_Western,1989,imports_reval,0.6330020570228162
South America_Southern,1989,imports_reval,0.7527592029460517
Brazil,1989,imports_reval,0.3102810353143723
EU-12,1989,imports_reval,5.127311422660632
Canada,1989,imports_reval,2.7171789411154275
China,1989,imports_reval,10.542654291527857
Colombia,1989,imports_reval,0.5092194608164468
Central America and Caribbean,1989,imports_reval,1.5522694274972137
Africa_Eastern,1989,imports_reval,0.3069405840889649
European Free Trade Association,1989,imports_reval,3.6470579565193737
India,1989,imports_reval,1.799376276560883
Indonesia,1989,imports_reval,1.1824760206706026
Japan,1989,imports_reval,7.296128638180313
Southeast Asia,1989,imports_reval,9.428610925670533
Mexico,1989,imports_reval,0.653129308438486
Pakistan,1989,imports_reval,0.4971431099670448
Russia,1989,imports_reval,5.669041633737565
South Africa,1989,imports_reval,0.2586351806913573
South Korea,1989,imports_reval,3.5775948609981687
Taiwan,1989,imports_reval,5.979806395595507
USA,1989,imports_reval,16.03940665314729
South America_Northern,1989,imports_reval,0.3222439488017057
Europe_Non_EU,1990,imports_reval,3.053617530986675
Africa_Northern,1990,imports_reval,4.126886776758313
Africa_Southern,1990,imports_reval,0.26504842319371
Argentina,1990,imports_reval,0.1884328633642782
Central Asia,1990,imports_reval,1.6031288221607052
Australia_NZ,1990,imports_reval,1.2186015394492058
EU-15,1990,imports_reval,72.7423326764331
Middle East,1990,imports_reval,8.080870871198853
South Asia,1990,imports_reval,0.3499467462479452
Europe_Eastern,1990,imports_reval,1.202553685701149
Africa_Western,1990,imports_reval,0.6232779326664586
South America_Southern,1990,imports_reval,0.8365590857051473
Brazil,1990,imports_reval,0.21953276131993932
EU-12,1990,imports_reval,3.721454107786201
Canada,1990,imports_reval,2.9745473431075347
China,1990,imports_reval,6.609645053393144
Colombia,1990,imports_reval,0.544591682030826
Central America and Caribbean,1990,imports_reval,1.2134248124337035
Africa_Eastern,1990,imports_reval,0.6407512619695086
European Free Trade Association,1990,imports_reval,3.8608030081615023
India,1990,imports_reval,1.5074629069142256
Indonesia,1990,imports_reval,2.002358009596231
Japan,1990,imports_reval,7.378906687896762
Southeast Asia,1990,imports_reval,12.35684738600363
Mexico,1990,imports_reval,1.045698857131434
Pakistan,1990,imports_reval,0.4441631779300843
Russia,1990,imports_reval,4.036915261228885
South Africa,1990,imports_reval,0.20810442602318638
South Korea,1990,imports_reval,5.828994619455419
Taiwan,1990,imports_reval,5.883867925819741
USA,1990,imports_reval,16.35845736898679
South America_Northern,1990,imports_reval,0.633631386697463
Europe_Non_EU,1991,imports_reval,2.8966530374256223
Africa_Northern,1991,imports_reval,4.043831681346334
Africa_Southern,1991,imports_reval,0.15403063539696443
Argentina,1991,imports_reval,0.6024074850114157
Central Asia,1991,imports_reval,1.0667149003415806
Australia_NZ,1991,imports_reval,1.4654010449752304
EU-15,1991,imports_reval,75.41567556297755
Middle East,1991,imports_reval,8.061288253891817
South Asia,1991,imports_reval,0.5507122717617496
Europe_Eastern,1991,imports_reval,0.8002208010177915
Africa_Western,1991,imports_reval,0.9009737166370386
South America_Southern,1991,imports_reval,0.9980341170241669
Brazil,1991,imports_reval,0.17836847413240192
EU-12,1991,imports_reval,2.3026830699059255
Canada,1991,imports_reval,2.692371106390776
China,1991,imports_reval,7.137479951533607
Colombia,1991,imports_reval,0.45259686702258733
Central America and Caribbean,1991,imports_reval,1.2681152311448718
Africa_Eastern,1991,imports_reval,0.3977366407168192
European Free Trade Association,1991,imports_reval,3.533209574961876
India,1991,imports_reval,1.1372946914926554
Indonesia,1991,imports_reval,2.022443342849184
Japan,1991,imports_reval,9.531964320627218
Southeast Asia,1991,imports_reval,14.408194435728381
Mexico,1991,imports_reval,2.1996840739908965
Pakistan,1991,imports_reval,0.43677180174207725
Russia,1991,imports_reval,2.6860410802785717
South Africa,1991,imports_reval,0.19834081818239258
South Korea,1991,imports_reval,9.055102353507849
Taiwan,1991,imports_reval,9.12684264944616
USA,1991,imports_reval,15.391458491824071
South America_Northern,1991,imports_reval,1.024409225825017
Europe_Non_EU,1992,imports_reval,3.945206919745
Africa_Northern,1992,imports_reval,4.232013435350735
Africa_Southern,1992,imports_reval,0.2102528967881257
Argentina,1992,imports_reval,1.335914559592245
Central Asia,1992,imports_reval,3.714467843256887
Australia_NZ,1992,imports_reval,1.2199638359620761
EU-15,1992,imports_reval,78.92626193327034
Middle East,1992,imports_reval,10.712789770677178
South Asia,1992,imports_reval,0.42913155344448217
Europe_Eastern,1992,imports_reval,2.0346011089189395
Africa_Western,1992,imports_reval,1.2582827207781677
South America_Southern,1992,imports_reval,1.5666536360674186
Brazil,1992,imports_reval,0.19192315706813523
EU-12,1992,imports_reval,3.0254852737819524
Canada,1992,imports_reval,2.5704764407327776
China,1992,imports_reval,12.1202708348478
Colombia,1992,imports_reval,0.7040776492443389
Central America and Caribbean,1992,imports_reval,1.474531572596649
Africa_Eastern,1992,imports_reval,0.3417957347786454
European Free Trade Association,1992,imports_reval,3.532248666040512
India,1992,imports_reval,1.6237992951944478
Indonesia,1992,imports_reval,2.0949814279965553
Japan,1992,imports_reval,6.687120337845926
Southeast Asia,1992,imports_reval,16.932366621337057
Mexico,1992,imports_reval,2.4928446019187005
Pakistan,1992,imports_reval,0.5973338708749828
Russia,1992,imports_reval,1.0652813437265036
South Africa,1992,imports_reval,0.2533816961292797
South Korea,1992,imports_reval,6.966637153912278
Taiwan,1992,imports_reval,11.688982841436259
USA,1992,imports_reval,16.90002002183119
South America_Northern,1992,imports_reval,0.6383062302490791
Europe_Non_EU,1993,imports_reval,6.243029987807692
Africa_Northern,1993,imports_reval,4.45691539144699
Africa_Southern,1993,imports_reval,0.1489933207173772
Argentina,1993,imports_reval,0.8005767866715408
Central Asia,1993,imports_reval,1.2779849622096155
Australia_NZ,1993,imports_reval,1.1132290638683289
EU-15,1993,imports_reval,64.44611327417846
Middle East,1993,imports_reval,10.256880365672313
South Asia,1993,imports_reval,0.5445600947346392
Europe_Eastern,1993,imports_reval,2.7081109913489474
Africa_Western,1993,imports_reval,0.7974290404592018
South America_Southern,1993,imports_reval,1.5602328725826753
Brazil,1993,imports_reval,0.21544048289236947
EU-12,1993,imports_reval,5.537934836241667
Canada,1993,imports_reval,3.570593453529821
China,1993,imports_reval,45.126089700091256
Colombia,1993,imports_reval,0.7554590909613491
Central America and Caribbean,1993,imports_reval,1.526656912984393
Africa_Eastern,1993,imports_reval,0.34415358588239237
European Free Trade Association,1993,imports_reval,3.5286235040319682
India,1993,imports_reval,1.7134231882498376
Indonesia,1993,imports_reval,2.720701976198303
Japan,1993,imports_reval,7.016109701829765
Southeast Asia,1993,imports_reval,18.93684121343115
Mexico,1993,imports_reval,1.6829949748638944
Pakistan,1993,imports_reval,0.5707913131707971
Russia,1993,imports_reval,2.3461201769299675
South Africa,1993,imports_reval,0.24027796087520686
South Korea,1993,imports_reval,5.826149853473959
Taiwan,1993,imports_reval,16.849034099124005
USA,1993,imports_reval,18.78574939523888
South America_Northern,1993,imports_reval,0.17347250336515532
Europe_Non_EU,1994,imports_reval,3.9023919959093383
Africa_Northern,1994,imports_reval,5.222933912721579
Africa_Southern,1994,imports_reval,0.1886004030386661
Argentina,1994,imports_reval,1.12361933238909
Central Asia,1994,imports_reval,1.5656827109400377
Australia_NZ,1994,imports_reval,1.5056019401315475
EU-15,1994,imports_reval,70.95220266305988
Middle East,1994,imports_reval,8.467378489677408
South Asia,1994,imports_reval,0.6645918964219664
Europe_Eastern,1994,imports_reval,1.174511504637619
Africa_Western,1994,imports_reval,0.6117039527127107
South America_Southern,1994,imports_reval,1.5127947672307822
Brazil,1994,imports_reval,0.2135475462977489
EU-12,1994,imports_reval,5.467415916660591
Canada,1994,imports_reval,5.715889463521055
China,1994,imports_reval,32.34846172118751
Colombia,1994,imports_reval,1.036803273847482
Central America and Caribbean,1994,imports_reval,1.4708835665555229
Africa_Eastern,1994,imports_reval,0.35624520573970264
European Free Trade Association,1994,imports_reval,3.659246973242268
India,1994,imports_reval,2.1464522060114857
Indonesia,1994,imports_reval,2.850751924929068
Japan,1994,imports_reval,5.673978262845796
Southeast Asia,1994,imports_reval,22.64824678779925
Mexico,1994,imports_reval,2.7172428437793004
Pakistan,1994,imports_reval,0.516904808328196
Russia,1994,imports_reval,3.942646520665449
South Africa,1994,imports_reval,0.33030873895231116
South Korea,1994,imports_reval,8.252546389907284
Taiwan,1994,imports_reval,12.792895063257669
USA,1994,imports_reval,30.18006112931998
South America_Northern,1994,imports_reval,0.3911712063024186
Europe_Non_EU,1995,imports_reval,4.394304059452324
Africa_Northern,1995,imports_reval,5.170479189753231
Africa_Southern,1995,imports_reval,0.23226736382968857
Argentina,1995,imports_reval,1.0006104856430558
Central Asia,1995,imports_reval,0.747052645302093
Australia_NZ,1995,imports_reval,1.372225089194886
EU-15,1995,imports_reval,84.537441281282
Middle East,1995,imports_reval,8.193422000434138
South Asia,1995,imports_reval,0.46625305351953905
Europe_Eastern,1995,imports_reval,1.4354307490376819
Africa_Western,1995,imports_reval,0.6611363522939981
South America_Southern,1995,imports_reval,2.189817712035588
Brazil,1995,imports_reval,0.3017547851991623
EU-12,1995,imports_reval,6.869112401964266
Canada,1995,imports_reval,5.537409860338796
China,1995,imports_reval,21.235993008391052
Colombia,1995,imports_reval,1.2394996905923927
Central America and Caribbean,1995,imports_reval,1.527250192746418
Africa_Eastern,1995,imports_reval,0.5186410370610604
European Free Trade Association,1995,imports_reval,4.133411901426026
India,1995,imports_reval,2.2746862453728522
Indonesia,1995,imports_reval,4.14262496060057
Japan,1995,imports_reval,7.3657504859378875
Southeast Asia,1995,imports_reval,25.857660916424056
Mexico,1995,imports_reval,0.8413510156768312
Pakistan,1995,imports_reval,0.7428616066187712
Russia,1995,imports_reval,4.1826566059550565
South Africa,1995,imports_reval,0.3090891028949753
South Korea,1995,imports_reval,11.285419414514507
Taiwan,1995,imports_reval,14.185618183373123
USA,1995,imports_reval,23.50334493606809
South America_Northern,1995,imports_reval,0.6569453136106764
Europe_Non_EU,1996,imports_reval,4.956808148396879
Africa_Northern,1996,imports_reval,3.4391749194017738
Africa_Southern,1996,imports_reval,0.21569199283504273
Argentina,1996,imports_reval,0.8994106264936145
Central Asia,1996,imports_reval,1.099636563582074
Australia_NZ,1996,imports_reval,1.5609301365598858
EU-15,1996,imports_reval,82.27993283414486
Middle East,1996,imports_reval,9.306531355822521
South Asia,1996,imports_reval,0.3940275125591073
Europe_Eastern,1996,imports_reval,2.0011886439482924
Africa_Western,1996,imports_reval,0.6692043351887013
South America_Southern,1996,imports_reval,1.742072725363227
Brazil,1996,imports_reval,0.38691317749494514
EU-12,1996,imports_reval,7.175736843664095
Canada,1996,imports_reval,5.10308457841496
China,1996,imports_reval,22.005579994877102
Colombia,1996,imports_reval,1.3127112239061565
Central America and Caribbean,1996,imports_reval,1.8159528839680599
Africa_Eastern,1996,imports_reval,0.3918860586865035
European Free Trade Association,1996,imports_reval,3.6286935871272137
India,1996,imports_reval,2.2303242083169037
Indonesia,1996,imports_reval,4.000285635276831
Japan,1996,imports_reval,6.377249632614248
Southeast Asia,1996,imports_reval,27.700776569067024
Mexico,1996,imports_reval,1.031110039658751
Pakistan,1996,imports_reval,0.6306581654818321
Russia,1996,imports_reval,4.010943103387
South Africa,1996,imports_reval,0.4011185532127294
South Korea,1996,imports_reval,11.912907893295184
Taiwan,1996,imports_reval,11.345422617055167
USA,1996,imports_reval,30.984224063769375
South America_Northern,1996,imports_reval,0.5985363573927744
Europe_Non_EU,1997,imports_reval,6.278301938185186
Africa_Northern,1997,imports_reval,5.098337389514011
Africa_Southern,1997,imports_reval,0.22581531793854945
Argentina,1997,imports_reval,1.447126333268169
Central Asia,1997,imports_reval,0.9615703914096918
Australia_NZ,1997,imports_reval,1.7051714897560535
EU-15,1997,imports_reval,89.44937004896354
Middle East,1997,imports_reval,10.16996070793092
South Asia,1997,imports_reval,0.6191368341601543
Europe_Eastern,1997,imports_reval,1.970848244355697
Africa_Western,1997,imports_reval,0.9265849196163954
South America_Southern,1997,imports_reval,2.0620225041806513
Brazil,1997,imports_reval,0.8417716546629497
EU-12,1997,imports_reval,8.699720652599703
Canada,1997,imports_reval,7.146577738139727
China,1997,imports_reval,22.174428122078407
Colombia,1997,imports_reval,1.0188193452532677
Central America and Caribbean,1997,imports_reval,1.8181843674394946
Africa_Eastern,1997,imports_reval,0.4505704700651808
European Free Trade Association,1997,imports_reval,4.415590606638772
India,1997,imports_reval,2.120331623836145
Indonesia,1997,imports_reval,4.347091914426508
Japan,1997,imports_reval,6.799903517642517
Southeast Asia,1997,imports_reval,24.04244028267805
Mexico,1997,imports_reval,1.4958939606164003
Pakistan,1997,imports_reval,0.554466719633152
Russia,1997,imports_reval,3.6045637605214464
South Africa,1997,imports_reval,0.4088260028943582
South Korea,1997,imports_reval,10.04401090211182
Taiwan,1997,imports_reval,12.912819589162124
USA,1997,imports_reval,33.08337208241677
South America_Northern,1997,imports_reval,0.34243355724953745
Europe_Non_EU,1998,imports_reval,7.012863030519401
Africa_Northern,1998,imports_reval,4.624225306530688
Africa_Southern,1998,imports_reval,0.18999327897181553
Argentina,1998,imports_reval,1.456615138783919
Central Asia,1998,imports_reval,1.4502820294848584
Australia_NZ,1998,imports_reval,1.734356374837924
EU-15,1998,imports_reval,100.27634160489121
Middle East,1998,imports_reval,11.214152126263212
South Asia,1998,imports_reval,0.7230299783094092
Europe_Eastern,1998,imports_reval,1.565333515084458
Africa_Western,1998,imports_reval,0.9805764231378702
South America_Southern,1998,imports_reval,2.0487608582460775
Brazil,1998,imports_reval,0.9734277288709554
EU-12,1998,imports_reval,9.822652522842862
Canada,1998,imports_reval,8.264707635273975
China,1998,imports_reval,21.295080018090992
Colombia,1998,imports_reval,1.0375744068294148
Central America and Caribbean,1998,imports_reval,1.8503234335421814
Africa_Eastern,1998,imports_reval,0.7641951887533024
European Free Trade Association,1998,imports_reval,4.626336342963708
India,1998,imports_reval,2.2229213639702414
Indonesia,1998,imports_reval,1.997040465637083
Japan,1998,imports_reval,5.13192956867204
Southeast Asia,1998,imports_reval,16.461862104691306
Mexico,1998,imports_reval,3.609872300464495
Pakistan,1998,imports_reval,0.6449216302876627
Russia,1998,imports_reval,0.9499663948590776
South Africa,1998,imports_reval,0.47392767921302875
South Korea,1998,imports_reval,3.771209376286165
Taiwan,1998,imports_reval,11.788027441984642
USA,1998,imports_reval,43.75062901853075
South America_Northern,1998,imports_reval,0.47181664278000857
Europe_Non_EU,1999,imports_reval,5.988626319715822
Africa_Northern,1999,imports_reval,5.3226700313026685
Africa_Southern,1999,imports_reval,0.09709592882394595
Argentina,1999,imports_reval,1.2559828212387847
Central Asia,1999,imports_reval,0.7976482754999431
Australia_NZ,1999,imports_reval,1.6163967489236657
EU-15,1999,imports_reval,101.67718619684354
Middle East,1999,imports_reval,10.773840957037638
South Asia,1999,imports_reval,0.769459134873636
Europe_Eastern,1999,imports_reval,1.5629312413919043
Africa_Western,1999,imports_reval,1.305052806773467
South America_Southern,1999,imports_reval,1.2507626100116909
Brazil,1999,imports_reval,0.6597023777582106
EU-12,1999,imports_reval,10.392431504883614
Canada,1999,imports_reval,6.859372989201423
China,1999,imports_reval,26.661788886860155
Colombia,1999,imports_reval,0.6577466146138274
Central America and Caribbean,1999,imports_reval,1.812457338046991
Africa_Eastern,1999,imports_reval,0.4739951794201232
European Free Trade Association,1999,imports_reval,3.6979976332732964
India,1999,imports_reval,2.2968929399213023
Indonesia,1999,imports_reval,1.5618871991464853
Japan,1999,imports_reval,5.372822150974244
Southeast Asia,1999,imports_reval,23.066083440523684
Mexico,1999,imports_reval,1.9732398438414822
Pakistan,1999,imports_reval,0.743358078738167
Russia,1999,imports_reval,2.9087016957367036
South Africa,1999,imports_reval,0.34923940242568785
South Korea,1999,imports_reval,9.269007054827872
Taiwan,1999,imports_reval,13.768829132582788
USA,1999,imports_reval,37.75615388038522
South America_Northern,1999,imports_reval,0.46251071472051675
Europe_Non_EU,2000,imports_reval,8.69283279607354
Africa_Northern,2000,imports_reval,5.834319012710822
Africa_Southern,2000,imports_reval,0.06985040909813922
Argentina,2000,imports_reval,0.7105741170797328
Central Asia,2000,imports_reval,1.0497807860111648
Australia_NZ,2000,imports_reval,1.5275980772332185
EU-15,2000,imports_reval,108.09198959221614
Middle East,2000,imports_reval,12.157472369402761
South Asia,2000,imports_reval,0.880722549498277
Europe_Eastern,2000,imports_reval,1.4962160093775327
Africa_Western,2000,imports_reval,1.42839024981847
South America_Southern,2000,imports_reval,1.8515420034854584
Brazil,2000,imports_reval,0.9546222576745693
EU-12,2000,imports_reval,9.927143117627425
Canada,2000,imports_reval,9.00969044889042
China,2000,imports_reval,30.00556787827056
Colombia,2000,imports_reval,1.119631195109304
Central America and Caribbean,2000,imports_reval,1.7260137320627156
Africa_Eastern,2000,imports_reval,0.42011477935837355
European Free Trade Association,2000,imports_reval,3.812415082081048
India,2000,imports_reval,1.9649223776737426
Indonesia,2000,imports_reval,3.9479090262866574
Japan,2000,imports_reval,5.151720752180153
Southeast Asia,2000,imports_reval,19.646186802428808
Mexico,2000,imports_reval,5.616377821398209
Pakistan,2000,imports_reval,0.7339354579152312
Russia,2000,imports_reval,2.9458650793563064
South Africa,2000,imports_reval,0.36582559156591477
South Korea,2000,imports_reval,11.590106286443419
Taiwan,2000,imports_reval,13.16832060215355
USA,2000,imports_reval,38.75215901532476
South America_Northern,2000,imports_reval,0.6549741258912475
Europe_Non_EU,2001,imports_reval,7.703525638486773
Africa_Northern,2001,imports_reval,6.136327632407242
Africa_Southern,2001,imports_reval,0.12328928735941297
Argentina,2001,imports_reval,0.7954747722623162
Central Asia,2001,imports_reval,1.2770715348979196
Australia_NZ,2001,imports_reval,1.6921454690079432
EU-15,2001,imports_reval,106.2096114172223
Middle East,2001,imports_reval,15.329346166839924
South Asia,2001,imports_reval,1.080836085850854
Europe_Eastern,2001,imports_reval,1.130151800794619
Africa_Western,2001,imports_reval,2.262358423045228
South America_Southern,2001,imports_reval,2.2757147625091645
Brazil,2001,imports_reval,1.1006232740072555
EU-12,2001,imports_reval,12.760711682716671
Canada,2001,imports_reval,6.075425250413833
China,2001,imports_reval,36.28006213651079
Colombia,2001,imports_reval,0.9102859050036658
Central America and Caribbean,2001,imports_reval,2.214070118829458
Africa_Eastern,2001,imports_reval,0.6030900973331285
European Free Trade Association,2001,imports_reval,3.663746656030556
India,2001,imports_reval,1.8236540421913168
Indonesia,2001,imports_reval,2.984628164825789
Japan,2001,imports_reval,4.5710750350327425
Southeast Asia,2001,imports_reval,22.095495116262796
Mexico,2001,imports_reval,5.4504139120140485
Pakistan,2001,imports_reval,0.828093046764057
Russia,2001,imports_reval,3.173671738776889
South Africa,2001,imports_reval,0.27392090745608283
South Korea,2001,imports_reval,11.131995237826997
Taiwan,2001,imports_reval,8.557303953471257
USA,2001,imports_reval,31.52565230564348
South America_Northern,2001,imports_reval,0.9277714986129908
Europe_Non_EU,2002,imports_reval,8.222357265231578
Africa_Northern,2002,imports_reval,6.907599026586522
Africa_Southern,2002,imports_reval,0.13366442721622027
Argentina,2002,imports_reval,0.3977575694870578
Central Asia,2002,imports_reval,1.5491108616924631
Australia_NZ,2002,imports_reval,1.7466150153403113
EU-15,2002,imports_reval,101.70965165001418
Middle East,2002,imports_reval,16.315542983041144
South Asia,2002,imports_reval,1.3176918533778132
Europe_Eastern,2002,imports_reval,1.0064731870236285
Africa_Western,2002,imports_reval,1.9860139894589144
South America_Southern,2002,imports_reval,2.2563353310678376
Brazil,2002,imports_reval,0.6044173694036443
EU-12,2002,imports_reval,13.13302872185639
Canada,2002,imports_reval,7.646802231638392
China,2002,imports_reval,39.269927180590145
Colombia,2002,imports_reval,0.7790441616109555
Central America and Caribbean,2002,imports_reval,2.719953304461221
Africa_Eastern,2002,imports_reval,0.716201930904822
European Free Trade Association,2002,imports_reval,3.314678295817164
India,2002,imports_reval,1.790504827262055
Indonesia,2002,imports_reval,3.3835055008762622
Japan,2002,imports_reval,3.4234341500473677
Southeast Asia,2002,imports_reval,25.74037719637734
Mexico,2002,imports_reval,5.754552840375931
Pakistan,2002,imports_reval,0.9506134263959547
Russia,2002,imports_reval,2.11369344232217
South Africa,2002,imports_reval,0.2546704212139019
South Korea,2002,imports_reval,14.160449319115395
Taiwan,2002,imports_reval,10.987415416318406
USA,2002,imports_reval,32.73970443403905
South America_Northern,2002,imports_reval,0.4438855978449106
Europe_Non_EU,2003,imports_reval,9.801304585726774
Africa_Northern,2003,imports_reval,6.936675572861586
Africa_Southern,2003,imports_reval,0.16363778398302406
Argentina,2003,imports_reval,0.5229183375575885
Central Asia,2003,imports_reval,2.197136587381823
Australia_NZ,2003,imports_reval,2.3368273785868436
EU-15,2003,imports_reval,105.18018123782021
Middle East,2003,imports_reval,21.398664125178428
South Asia,2003,imports_reval,1.3799454588324527
Europe_Eastern,2003,imports_reval,2.263988608887083
Africa_Western,2003,imports_reval,2.331838421758093
South America_Southern,2003,imports_reval,1.9287307099950337
Brazil,2003,imports_reval,0.5942257860421551
EU-12,2003,imports_reval,12.705630300642682
Canada,2003,imports_reval,7.118243603261547
China,2003,imports_reval,52.68707703191182
Colombia,2003,imports_reval,0.9938002002871461
Central America and Caribbean,2003,imports_reval,2.2330570765488282
Africa_Eastern,2003,imports_reval,0.8720696536656282
European Free Trade Association,2003,imports_reval,3.2587866005399793
India,2003,imports_reval,2.0394855515933
Indonesia,2003,imports_reval,3.1879434135717184
Japan,2003,imports_reval,3.26277776600298
Southeast Asia,2003,imports_reval,25.57738386963926
Mexico,2003,imports_reval,5.57765373454332
Pakistan,2003,imports_reval,1.2572171208451846
Russia,2003,imports_reval,3.311669542924737
South Africa,2003,imports_reval,0.33742497374677644
South Korea,2003,imports_reval,15.612441499892546
Taiwan,2003,imports_reval,11.075484159826628
USA,2003,imports_reval,21.583225032541424
South America_Northern,2003,imports_reval,1.4188593220967085
Europe_Non_EU,2004,imports_reval,10.217735163545122
Africa_Northern,2004,imports_reval,6.907939600428963
Africa_Southern,2004,imports_reval,0.171889034704598
Argentina,2004,imports_reval,0.8246006995195235
Central Asia,2004,imports_reval,2.4664550837789943
Australia_NZ,2004,imports_reval,2.6586860160817696
EU-15,2004,imports_reval,110.831041855783
Middle East,2004,imports_reval,22.527429909204308
South Asia,2004,imports_reval,1.335445577320338
Europe_Eastern,2004,imports_reval,2.4654379888990854
Africa_Western,2004,imports_reval,1.9579076438245626
South America_Southern,2004,imports_reval,2.048429088136452
Brazil,2004,imports_reval,0.6237378110910798
EU-12,2004,imports_reval,17.174325034138775
Canada,2004,imports_reval,9.436606295794437
China,2004,imports_reval,40.214914456716556
Colombia,2004,imports_reval,1.2418728483687227
Central America and Caribbean,2004,imports_reval,2.614665268441873
Africa_Eastern,2004,imports_reval,1.1859326299737352
European Free Trade Association,2004,imports_reval,3.972772600924021
India,2004,imports_reval,2.806164773668555
Indonesia,2004,imports_reval,4.578961149349704
Japan,2004,imports_reval,4.5072594877358805
Southeast Asia,2004,imports_reval,31.84569330326682
Mexico,2004,imports_reval,5.926611865228949
Pakistan,2004,imports_reval,1.4056251240340498
Russia,2004,imports_reval,4.195516379624062
South Africa,2004,imports_reval,0.4401498960830375
South Korea,2004,imports_reval,18.022921271985062
Taiwan,2004,imports_reval,13.979969124347331
USA,2004,imports_reval,32.259459043165975
South America_Northern,2004,imports_reval,0.12243043781243611
Europe_Non_EU,2005,imports_reval,12.468993368925783
Africa_Northern,2005,imports_reval,9.04625872731177
Africa_Southern,2005,imports_reval,0.20598108116852928
Argentina,2005,imports_reval,0.8807453541946973
Central Asia,2005,imports_reval,3.044849051332814
Australia_NZ,2005,imports_reval,2.9122869693926714
EU-15,2005,imports_reval,111.47451382843376
Middle East,2005,imports_reval,25.628243417727095
South Asia,2005,imports_reval,1.5754493584424638
Europe_Eastern,2005,imports_reval,2.5931182644137123
Africa_Western,2005,imports_reval,2.5859803061553968
South America_Southern,2005,imports_reval,2.802198762976213
Brazil,2005,imports_reval,0.8748759095632721
EU-12,2005,imports_reval,18.621913387622186
Canada,2005,imports_reval,10.108368602097181
China,2005,imports_reval,33.362816899366045
